hour,clip_count,active_clips,mean_score,max_score,mean_snr_db,active_ratio
2026-06-01 06:00:00,12,6,68.78,70.18,0.47,0.5
2026-06-01 07:00:00,12,8,69.26,70.24,0.36,0.667
